"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :16 
"",Constituency :Hassan ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,19 ,0 ,19 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,13 ,0 ,13 
"",5. FORFEITED DEPOSIT ,10 ,0 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,716214 ,699466 ,1415680 
"",2. SERVICE ,1191 ,342 ,1533 
"",3. TOTAL ,717405 ,699808 ,1417213 
"",III.VOTERS ,"","",""
"",1. GENERAL ,504636 ,475498 ,980134 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",214 
"",4. TOTAL ,"","",980348 
"",III(A). POLLING PERCENTAGE 69.17 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",244 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",980104 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 2020 ,AVERAGE ,ELECTORS PER POLLING S,TATION 701 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER JD(S) H,. D. Devegowd,a ,496429 
"",RUNER-UP BJP K., H. Hanume G,owda ,205316 
"",MARGIN 291113 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :17 
"",Constituency :Dakshina Kannada ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,17 ,0 ,17 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,11 ,0 ,11 
"",5. FORFEITED DEPOSIT ,9 ,0 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,672393 ,691258 ,1363651 
"",2. SERVICE ,728 ,262 ,990 
"",3. TOTAL ,673121 ,691520 ,1364641 
"",III.VOTERS ,"","",""
"",1. GENERAL ,502963 ,512535 ,1015498 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",424 
"",4. TOTAL ,"","",1015922 
"",III(A). POLLING PERCENTAGE 74.45 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",211 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1015711 
"",4. TENDERED VOTES ,"","",111 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1518 ,AVERAGE ,ELECTORS PER POLLING S,TATION 898 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP N,alin Kumar Ka,teel ,499385 
"",RUNER-UP INC Ja,nardhana Poo,jary ,458965 
"",MARGIN 40420 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :18 
"",Constituency :Chitradurga ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,18 ,1 ,19 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,5 ,0 ,5 
"",4. CONTESTED ,10 ,1 ,11 
"",5. FORFEITED DEPOSIT ,7 ,1 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,779658 ,754186 ,1533844 
"",2. SERVICE ,237 ,88 ,325 
"",3. TOTAL ,779895 ,754274 ,1534169 
"",III.VOTERS ,"","",""
"",1. GENERAL ,447547 ,387635 ,835182 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",763 
"",4. TOTAL ,"","",835945 
"",III(A). POLLING PERCENTAGE 54.49 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",318 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",835627 
"",4. TENDERED VOTES ,"","",10 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1892 ,AVERAGE ,ELECTORS PER POLLING S,TATION 810 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP Ja,nardhana Swa,my ,370920 
"",RUNER-UP INC D,r. B Thippeswa,my ,235349 
"",MARGIN 135571 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :19 
"",Constituency :Tumkur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,19 ,0 ,19 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,6 ,0 ,6 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,705236 ,683095 ,1388331 
"",2. SERVICE ,344 ,98 ,442 
"",3. TOTAL ,705580 ,683193 ,1388773 
"",III.VOTERS ,"","",""
"",1. GENERAL ,472067 ,427464 ,899531 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",415 
"",4. TOTAL ,"","",899946 
"",III(A). POLLING PERCENTAGE 64.80 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",282 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",162 
"",3. TOTAL VALID VOTES POLLED ,"","",899502 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1711 ,AVERAGE ,ELECTORS PER POLLING S,TATION 811 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP G,.S. Basavaraj ,"",331064 
"",RUNER-UP JD(S) M,uddahanumeg,owda S.P. ,309619 
"",MARGIN 21445 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :20 
"",Constituency :Mandya ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,26 ,1 ,27 
"",2. NOMINATION REJECTED ,5 ,0 ,5 
"",3. WITHDRAWN ,10 ,0 ,10 
"",4. CONTESTED ,11 ,1 ,12 
"",5. FORFEITED DEPOSIT ,9 ,1 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,757279 ,741973 ,1499252 
"",2. SERVICE ,393 ,99 ,492 
"",3. TOTAL ,757672 ,742072 ,1499744 
"",III.VOTERS ,"","",""
"",1. GENERAL ,530478 ,501535 ,1032013 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",214 
"",4. TOTAL ,"","",1032227 
"",III(A). POLLING PERCENTAGE 68.83 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",120 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",524 
"",3. TOTAL VALID VOTES POLLED ,"","",1031583 
"",4. TENDERED VOTES ,"","",10 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1936 ,AVERAGE ,ELECTORS PER POLLING S,TATION 774 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER JD(S) N, Cheluvaraya S,wamy @ ,384443 
"",Sw,amygowda ,"",""
"",RUNER-UP INC M, H Ambareesh,"",360943 
"",MARGIN 23500 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :21 
"",Constituency :Mysore ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,20 ,3 ,23 
"",2. NOMINATION REJECTED ,7 ,1 ,8 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,10 ,2 ,12 
"",5. FORFEITED DEPOSIT ,7 ,2 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,833191 ,818726 ,1651917 
"",2. SERVICE ,1635 ,439 ,2074 
"",3. TOTAL ,834826 ,819165 ,1653991 
"",III.VOTERS ,"","",""
"",1. GENERAL ,509336 ,463612 ,972948 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",930 
"",4. TOTAL ,"","",973878 
"",III(A). POLLING PERCENTAGE 58.88 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",398 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",973480 
"",4. TENDERED VOTES ,"","",50 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1801 ,AVERAGE ,ELECTORS PER POLLING S,TATION 917 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ad,agur H Vishw,anath ,354810 
"",RUNER-UP BJP C,.H.Vijayashank,ar ,347119 
"",MARGIN 7691 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :22 
"",Constituency :Chamarajanagar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,16 ,0 ,16 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,14 ,0 ,14 
"",5. FORFEITED DEPOSIT ,12 ,0 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,730074 ,703545 ,1433619 
"",2. SERVICE ,184 ,22 ,206 
"",3. TOTAL ,730258 ,703567 ,1433825 
"",III.VOTERS ,"","",""
"",1. GENERAL ,510400 ,463193 ,973593 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",100 
"",4. TOTAL ,"","",973693 
"",III(A). POLLING PERCENTAGE 67.91 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",142 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",973551 
"",4. TENDERED VOTES ,"","",5 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1678 ,AVERAGE ,ELECTORS PER POLLING S,TATION 854 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC R,.Dhruvanaraya,na ,369970 
"",RUNER-UP BJP A.,R.Krishnamur,thy ,365968 
"",MARGIN 4002 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :23 
"",Constituency :Bangalore Rural ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,19 ,1 ,20 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,14 ,1 ,15 
"",5. FORFEITED DEPOSIT ,12 ,0 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,992471 ,911389 ,1903860 
"",2. SERVICE ,216 ,59 ,275 
"",3. TOTAL ,992687 ,911448 ,1904135 
"",III.VOTERS ,"","",""
"",1. GENERAL ,580674 ,521932 ,1102606 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",227 
"",4. TOTAL ,"","",1102833 
"",III(A). POLLING PERCENTAGE 57.92 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",11 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1102822 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 2201 ,AVERAGE ,ELECTORS PER POLLING S,TATION 865 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-25-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER JD(S) H,.D.Kumaraswa,my ,493302 
"",RUNER-UP BJP C,. P. Yogeeshw,ara ,363027 
"",MARGIN 130275 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :24 
"",Constituency :Bangalore North ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,30 ,3 ,33 
"",2. NOMINATION REJECTED ,0 ,1 ,1 
"",3. WITHDRAWN ,3 ,1 ,4 
"",4. CONTESTED ,27 ,1 ,28 
"",5. FORFEITED DEPOSIT ,25 ,1 ,26 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,1129955 ,1013650 ,2143605 
"",2. SERVICE ,337 ,149 ,486 
"",3. TOTAL ,1130292 ,1013799 ,2144091 
"",III.VOTERS ,"","",""
"",1. GENERAL ,540550 ,461035 ,1001585 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",72 
"",4. TOTAL ,"","",1001657 
"",III(A). POLLING PERCENTAGE 46.72 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",51 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1001606 
"",4. TENDERED VOTES ,"","",118 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1966 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1090 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-25-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP D,. B. Chandre G,owda ,452920 
"",RUNER-UP INC C,. K. Jaffer Sha,rief ,393255 
"",MARGIN 59665 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :25 
"",Constituency :Bangalore central ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,40 ,1 ,41 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,36 ,1 ,37 
"",5. FORFEITED DEPOSIT ,33 ,1 ,34 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,989040 ,911092 ,1900132 
"",2. SERVICE ,862 ,352 ,1214 
"",3. TOTAL ,989902 ,911444 ,1901346 
"",III.VOTERS ,"","",""
"",1. GENERAL ,454771 ,392050 ,846821 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",161 
"",4. TOTAL ,"","",846982 
"",III(A). POLLING PERCENTAGE 44.55 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",8 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",846974 
"",4. TENDERED VOTES ,"","",25 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1782 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1066 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP P., C. Mohan ,"",340162 
"",RUNER-UP INC H,.T.Sangliana ,"",304944 
"",MARGIN 35218 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :26 
"",Constituency :Bangalore South ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,22 ,2 ,24 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,18 ,2 ,20 
"",5. FORFEITED DEPOSIT ,16 ,2 ,18 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,1071045 ,959764 ,2030809 
"",2. SERVICE ,157 ,64 ,221 
"",3. TOTAL ,1071202 ,959828 ,2031030 
"",III.VOTERS ,"","",""
"",1. GENERAL ,494819 ,413803 ,908622 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",443 
"",4. TOTAL ,"","",909065 
"",III(A). POLLING PERCENTAGE 44.76 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",282 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",475 
"",3. TOTAL VALID VOTES POLLED ,"","",908308 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1765 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1151 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP An,anth Kumar ,"",437953 
"",RUNER-UP INC Kr,ishna Byre Go,wda ,400341 
"",MARGIN 37612 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :27 
"",Constituency :Chikkballapur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,30 ,0 ,30 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,8 ,0 ,8 
"",4. CONTESTED ,20 ,0 ,20 
"",5. FORFEITED DEPOSIT ,17 ,0 ,17 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,733907 ,702923 ,1436830 
"",2. SERVICE ,219 ,106 ,325 
"",3. TOTAL ,734126 ,703029 ,1437155 
"",III.VOTERS ,"","",""
"",1. GENERAL ,514794 ,463533 ,978327 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",283 
"",4. TOTAL ,"","",978610 
"",III(A). POLLING PERCENTAGE 68.09 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",178 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",978432 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1875 ,AVERAGE ,ELECTORS PER POLLING S,TATION 766 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC M,.Veerappa Mo,ily ,390500 
"",RUNER-UP BJP C,.Aswathanaray,ana ,339119 
"",MARGIN 51381 ,"","",""


"",State/UT :S10 ,"","",Code :S10 
"","","","",No. :28 
"",Constituency :Kolar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,35 ,3 ,38 
"",2. NOMINATION REJECTED ,9 ,1 ,10 
"",3. WITHDRAWN ,6 ,0 ,6 
"",4. CONTESTED ,20 ,2 ,22 
"",5. FORFEITED DEPOSIT ,17 ,2 ,19 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,677785 ,660861 ,1338646 
"",2. SERVICE ,1972 ,305 ,2277 
"",3. TOTAL ,679757 ,661166 ,1340923 
"",III.VOTERS ,"","",""
"",1. GENERAL ,483018 ,442968 ,925986 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1275 
"",4. TOTAL ,"","",927261 
"",III(A). POLLING PERCENTAGE 69.15 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",186 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",927075 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1912 ,AVERAGE ,ELECTORS PER POLLING S,TATION 700 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC K.,H.Muniyappa ,"",344771 
"",RUNER-UP BJP D,.S.Veeraiah ,"",321765 
"",MARGIN 23006 ,"","",""


"",State/UT :S11 ,"","",Code :S11 
"","","","",No. :1 
"",Constituency :Kasaragod ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,9 ,2 ,11 
"",2. NOMINATION REJECTED ,4 ,0 ,4 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,5 ,2 ,7 
"",5. FORFEITED DEPOSIT ,4 ,1 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,534854 ,576560 ,1111414 
"",2. SERVICE ,1779 ,699 ,2478 
"",3. TOTAL ,536633 ,577259 ,1113892 
"",III.VOTERS ,"","",""
"",1. GENERAL ,402963 ,443358 ,846321 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1504 
"",4. TOTAL ,"","",847825 
"",III(A). POLLING PERCENTAGE 76.11 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",395 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",729 
"",3. TOTAL VALID VOTES POLLED ,"","",846701 
"",4. TENDERED VOTES ,"","",12 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1052 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1056 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER CPM P ,Karunakaran ,"",385522 
"",RUNER-UP INC Sh,ahida Kamal ,"",321095 
"",MARGIN 64427 ,"","",""


"",State/UT :S11 ,"","",Code :S11 
"","","","",No. :2 
"",Constituency :Kannur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,12 ,1 ,13 
"",2. NOMINATION REJECTED ,3 ,1 ,4 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,9 ,0 ,9 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,497540 ,566601 ,1064141 
"",2. SERVICE ,3872 ,1712 ,5584 
"",3. TOTAL ,501412 ,568313 ,1069725 
"",III.VOTERS ,"","",""
"",1. GENERAL ,402373 ,458995 ,861368 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3323 
"",4. TOTAL ,"","",864691 
"",III(A). POLLING PERCENTAGE 80.83 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",115 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",859 
"",3. TOTAL VALID VOTES POLLED ,"","",863717 
"",4. TENDERED VOTES ,"","",61 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 983 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1083 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC K., Sudhakaran ,"",432878 
"",RUNER-UP CPM K.,K Ragesh ,"",389727 
"",MARGIN 43151 ,"","",""


"",State/UT :S11 ,"","",Code :S11 
"","","","",No. :3 
"",Constituency :Vadakara ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,9 ,3 ,12 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,5 ,3 ,8 
"",5. FORFEITED DEPOSIT ,4 ,2 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,503820 ,564632 ,1068452 
"",2. SERVICE ,1872 ,847 ,2719 
"",3. TOTAL ,505692 ,565479 ,1071171 
"",III.VOTERS ,"","",""
"",1. GENERAL ,391476 ,467571 ,859047 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3797 
"",4. TOTAL ,"","",862844 
"",III(A). POLLING PERCENTAGE 80.55 ,"","",""
"",IV. VOTES ,"","",""
